Datum/Zeit;timestamp_text;O3 [µg/m³];NO2 [µg/m³];PM10 [µg/m³];PM2.5 [µg/m³];CPC [1/cm³];EC [µg/m³];NOX [µg/m³];TEMP [°C];PREC [mm];RAD [W/m²];SO2 [µg/m³]
2019-07-22T16:00:00+00:00;22.07.2019 17:00;128.2;6.2;12.7;6.6;11751.3;0.2;6.6;30.1;0.0;391.3;0.5
2019-07-22T17:00:00+00:00;22.07.2019 18:00;124.0;6.6;13.8;7.4;8949.9;0.2;6.8;29.7;0.0;300.2;0.5
2019-07-22T18:00:00+00:00;22.07.2019 19:00;116.6;7.3;13.2;6.7;7579.3;0.2;7.6;28.9;0.0;140.0;0.4
2019-07-22T21:00:00+00:00;22.07.2019 22:00;71.0;15.4;19.8;9.1;11665.6;0.4;15.6;22.1;0.0;0.0;0.7
2019-07-23T04:00:00+00:00;23.07.2019 05:00;42.6;18.6;15.0;10.8;8050.6;0.3;19.1;17.1;0.0;0.8;1.1
2019-07-23T06:00:00+00:00;23.07.2019 07:00;36.4;31.4;16.7;11.3;11706.4;0.5;39.7;19.2;0.0;183.0;1.3
2019-07-23T09:00:00+00:00;23.07.2019 10:00;96.4;20.8;18.9;11.4;11736.2;0.4;25.1;26.9;0.0;671.7;0.7
2019-07-23T10:00:00+00:00;23.07.2019 11:00;117.2;10.6;16.4;10.1;10748.9;0.2;12.0;29.4;0.0;793.3;0.6
2019-07-23T11:00:00+00:00;23.07.2019 12:00;128.4;5.9;15.4;9.8;8548.2;0.2;6.5;31.3;0.0;869.0;0.5
2019-07-23T13:00:00+00:00;23.07.2019 14:00;137.5;3.9;12.5;8.8;5077.2;0.2;4.1;33.1;0.0;891.7;0.2
2019-07-23T14:00:00+00:00;23.07.2019 15:00;137.6;4.2;12.4;8.9;5371.2;0.1;4.4;33.8;0.0;826.3;0.2
2019-07-23T15:00:00+00:00;23.07.2019 16:00;138.6;4.2;11.6;8.8;5016.8;0.1;4.3;34.2;0.0;717.0;0.3
2019-07-23T18:00:00+00:00;23.07.2019 19:00;142.6;6.8;13.8;9.7;6314.2;0.3;7.1;33.3;0.0;208.7;0.4
2019-07-23T22:00:00+00:00;23.07.2019 23:00;80.2;23.2;21.8;14.0;11375.2;0.4;23.3;24.6;0.0;0.0;0.8
2019-07-24T02:00:00+00:00;24.07.2019 03:00;76.7;16.1;19.7;14.0;8565.3;0.3;16.4;21.5;0.0;0.0;1.4
2019-07-24T03:00:00+00:00;24.07.2019 04:00;78.1;14.5;18.6;13.6;8621.4;0.3;14.7;21.2;0.0;0.0;1.5
2019-07-24T06:00:00+00:00;24.07.2019 07:00;58.2;35.2;22.8;14.7;17570.5;0.5;40.2;21.7;0.0;179.3;2.3
2019-07-24T07:00:00+00:00;24.07.2019 08:00;64.9;39.8;29.4;14.9;16867.6;0.6;48.2;23.8;0.0;345.8;1.5
2019-07-24T14:00:00+00:00;24.07.2019 15:00;145.6;3.8;16.2;9.3;7181.9;0.1;3.8;36.1;0.0;824.3;0.5
2019-07-24T19:00:00+00:00;24.07.2019 20:00;151.7;10.1;22.9;12.3;6623.4;0.3;10.0;32.6;0.0;34.7;0.7
2019-07-24T20:00:00+00:00;24.07.2019 21:00;111.5;15.0;27.1;16.0;11411.1;0.5;15.1;28.6;0.0;0.7;0.8
2019-07-24T22:00:00+00:00;24.07.2019 23:00;95.8;11.4;33.6;15.8;7760.3;0.4;11.6;24.6;0.0;0.0;0.5
2019-07-24T23:00:00+00:00;25.07.2019 00:00;95.7;10.0;22.5;13.9;7278.6;0.4;10.2;24.1;0.0;0.0;0.5
2019-07-25T04:00:00+00:00;25.07.2019 05:00;79.1;14.3;19.6;13.8;7180.5;0.3;14.4;21.1;0.0;1.2;1.9
2019-07-25T08:00:00+00:00;25.07.2019 09:00;92.6;36.1;33.3;18.3;15881.3;0.6;42.7;26.2;0.0;509.3;1.6
2019-07-25T13:00:00+00:00;25.07.2019 14:00;173.9;4.6;22.8;14.9;4853.2;0.2;4.9;36.6;0.0;860.5;0.6
2019-07-25T18:00:00+00:00;25.07.2019 19:00;172.8;5.3;21.9;14.7;4909.7;0.2;5.3;35.0;0.0;132.7;0.5
2019-07-25T19:00:00+00:00;25.07.2019 20:00;159.5;6.2;25.6;17.7;6306.8;0.3;6.2;32.0;0.0;35.5;0.4
2019-07-25T22:00:00+00:00;25.07.2019 23:00;100.0;18.2;30.4;17.7;9641.2;0.6;18.5;26.2;0.0;0.0;0.9
2019-07-26T01:00:00+00:00;26.07.2019 02:00;96.7;16.1;27.5;17.8;7788.8;0.5;16.3;25.3;0.0;0.0;1.6
2019-07-26T03:00:00+00:00;26.07.2019 04:00;92.8;9.0;26.1;18.8;5209.0;0.3;9.3;23.4;0.0;0.0;0.7
2019-07-26T06:00:00+00:00;26.07.2019 07:00;52.5;48.6;34.3;21.3;15737.2;0.8;53.3;24.6;0.0;139.7;2.5
2019-07-26T16:00:00+00:00;26.07.2019 17:00;154.3;4.2;17.0;11.8;6946.9;0.2;4.2;34.4;0.0;539.2;0.5
2019-07-27T00:00:00+00:00;27.07.2019 01:00;75.4;4.0;6.4;3.8;3297.1;0.1;4.3;19.2;0.0;0.0;0.1
2019-07-27T02:00:00+00:00;27.07.2019 03:00;58.0;3.9;9.7;5.2;5335.5;0.1;4.0;19.0;0.0;0.0;0.1
2019-07-27T07:00:00+00:00;27.07.2019 08:00;68.0;4.8;8.7;4.7;7041.4;0.0;5.4;20.3;0.0;187.2;0.2
2019-07-27T08:00:00+00:00;27.07.2019 09:00;102.0;2.5;6.8;4.2;6275.3;0.1;3.0;21.6;0.0;457.0;0.1
2019-07-27T09:00:00+00:00;27.07.2019 10:00;116.9;1.7;6.8;4.2;3341.8;0.1;2.0;22.6;0.0;561.2;0.0
2019-07-27T13:00:00+00:00;27.07.2019 14:00;108.9;4.3;8.0;5.5;9724.1;0.1;4.6;24.8;0.0;628.0;0.1
2019-07-27T14:00:00+00:00;27.07.2019 15:00;104.9;4.0;8.2;5.8;7162.2;0.1;4.3;23.4;0.3;160.5;0.1
2019-07-27T16:00:00+00:00;27.07.2019 17:00;98.3;3.2;6.5;3.8;2482.7;0.1;3.2;18.2;4.3;22.8;0.0
2019-07-28T00:00:00+00:00;28.07.2019 01:00;59.6;8.5;9.4;5.8;6760.9;0.2;8.5;18.6;0.0;0.0;0.2
2019-07-28T04:00:00+00:00;28.07.2019 05:00;60.0;5.6;6.9;4.7;2279.7;0.1;5.8;17.8;2.7;0.0;0.0
2019-07-28T05:00:00+00:00;28.07.2019 06:00;61.7;4.0;4.7;3.2;2648.4;0.1;4.1;17.7;1.0;2.8;0.0
2019-07-28T07:00:00+00:00;28.07.2019 08:00;45.1;2.3;2.6;1.3;863.0;0.0;2.7;17.1;2.5;53.0;0.0
